,name,start_date
850111,种子生产III,2005-05-27
850112,粮食种植III,2005-05-27
850113,其他种植业III,2005-05-27
850121,海洋捕捞III,2005-05-27
850122,水产养殖III,2005-05-27
850131,林业III,2005-05-27
850141,饲料III,2005-05-27
850151,果蔬加工III,2005-05-27
850152,粮油加工III,2005-05-27
850153,畜禽加工III,2005-05-27
850154,其他农产品加工III,2011-09-23
850161,农业综合III,2005-05-27
850171,畜禽养殖III,2011-09-23
850181,动物保健III,2011-09-23
850211,石油开采III,2005-05-27
850221,煤炭开采III,2005-05-27
850222,焦炭加工III,2005-05-27
850231,其他采掘III,2005-05-27
850241,油气钻采服务III,2011-09-23
850242,其他采掘服务III,2011-09-23
850311,石油加工III,2005-05-27
850313,石油贸易III,2005-05-27
850321,纯碱III,2005-05-27
850322,氯碱III,2005-05-27
850323,无机盐III,2005-05-27
850324,其他化学原料III,2007-07-04
850331,氮肥III,2005-05-27
850332,磷肥III,2005-05-27
850333,农药III,2005-05-27
850334,日用化学产品III,2005-05-27
850335,涂料油漆油墨制造III,2005-05-27
850336,钾肥III,2005-05-27
850337,民爆用品III,2008-06-26
850338,纺织化学用品III,2008-06-26
850339,其他化学制品III,2008-06-26
850341,涤纶III,2005-05-27
850342,维纶III,2005-05-27
850343,粘胶III,2005-05-27
850344,其他纤维III,2005-05-27
850345,氨纶III,2008-06-27
850351,其他塑料制品III,2005-05-27
850352,合成革III,2011-09-23
850353,改性塑料III,2011-09-23
850361,轮胎III,2005-05-27
850362,其他橡胶制品III,2008-06-27
850363,炭黑III,2011-09-23
850371,其他化工新材料III,2005-05-27
850372,聚氨酯III,2011-09-23
850373,玻纤III,2011-09-23
850381,复合肥III,2011-09-23
850382,氟化工及制冷剂III,2011-09-23
850383,磷化工及磷酸盐III,2011-09-23
850411,普钢III,2005-05-27
850412,特钢III,2005-05-27
850421,金属制品III,2005-05-27
850511,有色金属冶炼III,2005-05-27
850512,铝III,2007-07-04
850513,铜III,2007-07-04
850514,铅锌III,2007-07-04
850515,黄金III,2007-07-04
850516,小金属III,2007-07-04
850521,金属新材料III,2005-05-27
850522,磁性材料III,2008-06-26
850523,非金属新材料III,2008-06-26
850531,黄金III,2014-02-21
850541,稀土III,2014-02-21
850542,钨III,2014-02-21
850543,锂III,2014-02-21
850544,其他稀有小金属III,2014-02-21
850551,铝III,2014-02-21
850552,铜III,2014-02-21
